ref_seq_bin, insert_length, mean_fit, prediction_mean, sample_mean, num_sites, max_duplication, counts1, counts2, counts3, calls_prediction, dispersion_prediction, calls_sample, dispersion_sample
0, 139, poisson, 1.08648e-05, 5e-06, 200000, 1, 1, 0, 0, 7, 2.61246, 5, 1.9015
0, 139, poisson, 2.16458e-05, 5e-06, 200000, 1, 1, 0, 0, 54, 4.0019e-06, 5, 1.9013
0, 139, poisson, 3.23815e-05, 5e-06, 200000, 1, 1, 0, 0, 20055, 2.8682e-06, 6, 1.92644
0, 139, poisson, 4.37439e-05, 1e-05, 200000, 1, 2, 0, 0, 43, 8.85306e-06, 9, 4.51619
0, 139, poisson, 5.58786e-05, 0, 200000, 0, 0, 0, 0, 20099, 1.00078e-08, 1, 1
0, 139, poisson, 6.89121e-05, 4e-05, 200000, 2, 4, 2, 0, 38, 1.3833e-05, 43, 1.59184e-05
0, 139, poisson, 8.30151e-05, 2.5e-05, 200000, 2, 3, 1, 0, 20047, 7.62939e-06, 37, 1.5833e-05
0, 139, poisson, 9.82133e-05, 3e-05, 200000, 2, 4, 1, 0, 40, 1.30908e-05, 36, 2.62236e-05
0, 139, poisson, 0.000114787, 2.5e-05, 200000, 2, 3, 1, 0, 20051, 6.91254e-06, 37, 1.5833e-05
0, 139, poisson, 0.000132756, 4.5e-05, 200000, 2, 5, 2, 0, 37, 1.45085e-05, 38, 2.31614e-05
0, 139, poisson, 0.00015229, 7.5e-05, 200000, 2, 9, 3, 0, 38, 3.62423e-05, 36, 4.75003e-05
0, 139, poisson, 0.000173527, 0.00011, 200000, 6, 14, 1, 0, 36, 7.30569e-05, 43, 8.28577e-05
0, 139, poisson, 0.000196697, 0.0001, 200000, 2, 18, 1, 0, 29, 0.000239373, 28, 0.000434583
0, 139, poisson, 0.000221914, 0.000135, 200000, 4, 15, 4, 0, 33, 6.15779e-05, 33, 6.94863e-05
0, 139, poisson, 0.000249484, 9e-05, 200000, 2, 16, 1, 0, 34, 0.000101151, 30, 0.000346215
0, 139, poisson, 0.000279547, 0.000155, 200000, 3, 24, 2, 1, 32, 0.000182493, 28, 0.000244053
0, 139, poisson, 0.000312447, 0.000185, 200000, 3, 32, 1, 1, 31, 0.000406992, 28, 0.000564165
0, 139, poisson, 0.000348668, 0.000185, 200000, 3, 32, 1, 1, 30, 0.000348407, 28, 0.000564165
0, 139, poisson, 0.000388168, 0.000185, 200000, 3, 24, 5, 1, 34, 0.000107234, 34, 0.000147947
0, 139, poisson, 0.000431728, 0.000235, 200000, 2, 39, 4, 0, 30, 0.000367615, 28, 0.000538489
0, 139, poisson, 0.000480039, 0.00024, 200000, 2, 42, 3, 0, 29, 0.000448852, 29, 0.000803834
0, 139, poisson, 0.000533623, 0.000345, 200000, 4, 47, 9, 0, 30, 0.00028712, 34, 0.000324487
0, 139, poisson, 0.000592926, 0.000365, 200000, 3, 56, 7, 1, 29, 0.000452849, 35, 0.000550613
