ref_seq_bin, insert_length, mean_fit, prediction_mean, sample_mean, num_sites, max_duplication, counts1, counts2, counts3, calls_prediction, dispersion_prediction, calls_sample, dispersion_sample
0, 141, poisson, 4.57258e-06, 0, 200000, 0, 0, 0, 0, 20103, 1.00096e-08, 1, 1
0, 141, poisson, 8.49299e-06, 5e-06, 200000, 1, 1, 0, 0, 36, 3.69373e-05, 6, 1.92117
0, 141, poisson, 1.30357e-05, 1e-05, 200000, 1, 2, 0, 0, 9, 5.92726, 9, 5.50773
0, 141, poisson, 1.82887e-05, 5e-06, 200000, 1, 1, 0, 0, 49, 5.14448e-06, 6, 1.91994
0, 141, poisson, 2.42909e-05, 2.5e-05, 200000, 2, 3, 1, 0, 37, 1.58042e-05, 37, 1.5833e-05
0, 141, poisson, 3.11627e-05, 4e-05, 200000, 2, 6, 1, 0, 35, 5.25997e-05, 35, 5.45277e-05
0, 141, poisson, 3.89928e-05, 2.5e-05, 200000, 1, 5, 0, 0, 14, 24.1985, 15, 32.8034
0, 141, poisson, 4.78384e-05, 4.5e-05, 200000, 1, 9, 0, 0, 19, 110.943, 19, 111.299
0, 141, poisson, 5.78499e-05, 6e-05, 200000, 3, 5, 2, 1, 37, 1.63069e-05, 43, 1.60911e-05
0, 141, poisson, 6.90621e-05, 2.5e-05, 200000, 1, 5, 0, 0, 37, 5.26079e-05, 15, 32.7996
0, 141, poisson, 8.17426e-05, 4.5e-05, 200000, 1, 9, 0, 0, 15, 32.1512, 19, 111.299
0, 141, poisson, 9.59269e-05, 7.5e-05, 200000, 2, 13, 1, 0, 32, 0.000218739, 41, 0.000232435
0, 141, poisson, 0.000111866, 0.0001, 200000, 2, 16, 2, 0, 32, 0.000186269, 32, 0.000185706
0, 141, poisson, 0.000129844, 0.000115, 200000, 3, 20, 0, 1, 30, 0.000352922, 30, 0.000365921
0, 141, poisson, 0.000149968, 0.00012, 200000, 2, 18, 3, 0, 34, 0.000157934, 34, 0.000163596
0, 141, poisson, 0.000172551, 0.000105, 200000, 2, 17, 2, 0, 34, 0.000160774, 32, 0.000207996
0, 141, poisson, 0.000197922, 0.000175, 200000, 2, 29, 3, 0, 30, 0.000388706, 30, 0.000397346
0, 141, poisson, 0.000226493, 0.000225, 200000, 2, 39, 3, 0, 28, 0.000698704, 28, 0.0006975
0, 141, poisson, 0.000258611, 0.00025, 200000, 4, 35, 4, 1, 29, 0.000258393, 29, 0.000259112
0, 141, poisson, 0.000294847, 0.00029, 200000, 3, 41, 7, 1, 32, 0.000313781, 32, 0.000311706
0, 141, poisson, 0.000335676, 0.00027, 200000, 3, 39, 6, 1, 32, 0.000301163, 32, 0.000315082
0, 141, poisson, 0.000381896, 0.000335, 200000, 3, 55, 3, 2, 28, 0.000704957, 20041, 0.000719103
0, 141, poisson, 0.000434313, 0.000445, 200000, 4, 64, 7, 1, 27, 0.000511338, 27, 0.000510605
0, 141, poisson, 0.000493956, 0.000485, 200000, 4, 79, 7, 0, 25, 0.00100087, 25, 0.000994525
0, 141, poisson, 0.000562295, 0.00047, 200000, 3, 73, 9, 1, 28, 0.00072787, 28, 0.000751344
0, 141, poisson, 0.000640577, 0.000575, 200000, 5, 80, 12, 2, 28, 0.000579069, 28, 0.000582724
0, 141, poisson, 0.000730259, 0.000625, 200000, 3, 100, 8, 3, 27, 0.00113873, 20047, 0.0011612
0, 141, poisson, 0.000834102, 0.00075, 200000, 3, 124, 10, 2, 26, 0.00168124, 20039, 0.00168014
0, 141, poisson, 0.00095429, 0.00096, 200000, 3, 147, 18, 3, 26, 0.0014493, 32, 0.00143596
0, 141, poisson, 0.00109481, 0.001015, 200000, 3, 168, 16, 1, 25, 0.00227988, 25, 0.00229038
0, 141, poisson, 0.00126052, 0.001195, 200000, 4, 173, 28, 2, 26, 0.00139649, 26, 0.00140799
0, 141, poisson, 0.0014576, 0.001375, 200000, 4, 215, 28, 0, 25, 0.00227762, 32, 0.00227314
0, 141, poisson, 0.00169375, 0.001785, 200000, 4, 269, 39, 2, 27, 0.00247068, 27, 0.00248717
0, 141, poisson, 0.00197855, 0.002085, 200000, 6, 309, 40, 6, 27, 0.0026904, 20040, 0.00270406
0, 141, poisson, 0.00232984, 0.002505, 200000, 3, 363, 45, 16, 24, 0.00297851, 31, 0.00296508
0, 141, poisson, 0.00277144, 0.002795, 200000, 4, 417, 58, 6, 22, 0.00374877, 22, 0.00373159
0, 141, poisson, 0.00333534, 0.00341, 200000, 4, 503, 71, 11, 23, 0.00436509, 23, 0.00434178
0, 141, poisson, 0.0040732, 0.004255, 200000, 5, 667, 68, 9, 21, 0.00719857, 21, 0.00713946
0, 141, poisson, 0.0050706, 0.00519, 200000, 7, 757, 108, 18, 23, 0.00631754, 23, 0.00631912
0, 141, poisson, 0.00649019, 0.00678, 200000, 7, 1008, 130, 23, 21, 0.0089855, 21, 0.00894456
0, 141, poisson, 0.00864472, 0.00868, 200000, 6, 1309, 169, 19, 21, 0.0123197, 21, 0.0122012
0, 141, poisson, 0.0122611, 0.012685, 200000, 5, 1872, 254, 45, 18, 0.016393, 18, 0.0162986
0, 141, poisson, 0.0197894, 0.020095, 200000, 5, 2920, 425, 62, 19, 0.0248127, 19, 0.0243698
0, 167, poisson, 4.91064e-06, 0, 200000, 0, 0, 0, 0, 20104, 1.00094e-08, 1, 1
0, 167, poisson, 9.01475e-06, 1e-05, 200000, 2, 0, 1, 0, 10105, 1.0002e-08, 10105, 1.0002e-08
0, 167, poisson, 1.37382e-05, 2e-05, 200000, 1, 4, 0, 0, 13, 18.5031, 13, 18.5322
0, 167, poisson, 1.91632e-05, 2e-05, 200000, 1, 4, 0, 0, 14, 24.6087, 13, 18.5322
0, 167, poisson, 2.53791e-05, 0, 200000, 0, 0, 0, 0, 20097, 1.00018e-08, 1, 1
0, 167, poisson, 3.24219e-05, 3e-05, 200000, 1, 6, 0, 0, 16, 42.717, 16, 42.4434
0, 167, poisson, 4.03876e-05, 3e-05, 200000, 1, 6, 0, 0, 16, 43.7314, 16, 42.4516
0, 167, poisson, 4.935e-05, 5e-05, 200000, 2, 8, 1, 0, 34, 9.36569e-05, 34, 9.28472e-05
0, 167, poisson, 5.94332e-05, 3.5e-05, 200000, 1, 7, 0, 0, 15, 32.1347, 17, 56.2565
0, 167, poisson, 7.07387e-05, 4.5e-05, 200000, 2, 7, 1, 0, 33, 5.95796e-05, 34, 7.2436e-05
0, 167, poisson, 8.34756e-05, 7e-05, 200000, 2, 10, 2, 0, 36, 7.68498e-05, 36, 7.82483e-05
0, 167, poisson, 9.77466e-05, 8e-05, 200000, 2, 12, 2, 0, 34, 0.000103577, 33, 0.00010906
0, 167, poisson, 0.000113774, 0.000115, 200000, 3, 16, 2, 1, 31, 0.000118174, 31, 0.000116512
0, 167, poisson, 0.000131704, 9e-05, 200000, 3, 15, 0, 1, 30, 0.00017802, 32, 0.000211755
0, 167, poisson, 0.000151794, 0.000135, 200000, 2, 25, 1, 0, 28, 0.000799703, 29, 0.000822758
0, 167, poisson, 0.000174305, 0.00017, 200000, 3, 27, 2, 1, 32, 0.00030364, 32, 0.000303687
0, 167, poisson, 0.000199515, 0.00015, 200000, 3, 21, 3, 1, 34, 0.000147168, 34, 0.000155462
0, 167, poisson, 0.000227809, 0.00017, 200000, 3, 27, 2, 1, 30, 0.000278878, 32, 0.000303687
0, 167, poisson, 0.00025955, 0.000175, 200000, 2, 29, 3, 0, 30, 0.000350217, 30, 0.000397346
0, 167, poisson, 0.000295357, 0.00026, 200000, 3, 37, 6, 1, 30, 0.00028243, 30, 0.000286434
0, 167, poisson, 0.000335672, 0.000335, 200000, 2, 57, 5, 0, 27, 0.000896927, 20040, 0.00090521
0, 167, poisson, 0.000381294, 0.00032, 200000, 2, 60, 2, 0, 24, 0.00224123, 24, 0.00235193
0, 167, poisson, 0.00043322, 0.00043, 200000, 3, 75, 4, 1, 26, 0.00138918, 26, 0.00140153
0, 167, poisson, 0.000492125, 0.00049, 200000, 3, 77, 6, 3, 28, 0.000831899, 28, 0.000829388
0, 167, poisson, 0.000559297, 0.000505, 200000, 4, 75, 11, 0, 30, 0.000651372, 31, 0.000660009
0, 167, poisson, 0.000636244, 0.000585, 200000, 2, 95, 11, 0, 27, 0.0011745, 27, 0.00117935
0, 167, poisson, 0.000724397, 0.00071, 200000, 4, 108, 15, 0, 26, 0.00104298, 25, 0.0010302
0, 167, poisson, 0.000825818, 0.0008, 200000, 3, 125, 16, 1, 29, 0.00131273, 29, 0.00131703
0, 167, poisson, 0.00094384, 0.00099, 200000, 3, 161, 17, 1, 23, 0.00201344, 23, 0.00201307
0, 167, poisson, 0.00108188, 0.000935, 200000, 3, 146, 16, 3, 26, 0.00151731, 27, 0.00153452
0, 167, poisson, 0.00124449, 0.001155, 200000, 3, 197, 14, 2, 25, 0.00316576, 25, 0.00317874
0, 167, poisson, 0.00143742, 0.001585, 200000, 4, 232, 33, 5, 23, 0.00194226, 24, 0.00195222
0, 167, poisson, 0.00166742, 0.001785, 200000, 4, 267, 37, 4, 26, 0.00240916, 26, 0.00240759
0, 167, poisson, 0.00194718, 0.001885, 200000, 4, 292, 34, 3, 24, 0.00297953, 24, 0.00297912
0, 167, poisson, 0.0022895, 0.002195, 200000, 5, 354, 34, 4, 22, 0.00428052, 22, 0.00426496
0, 167, poisson, 0.00271816, 0.002655, 200000, 4, 423, 44, 4, 25, 0.00485984, 27, 0.00483383
0, 167, poisson, 0.00326575, 0.003235, 200000, 4, 508, 55, 7, 22, 0.00553105, 22, 0.00547155
0, 167, poisson, 0.00398001, 0.004055, 200000, 5, 583, 87, 11, 23, 0.00469459, 25, 0.00465926
0, 167, poisson, 0.00495095, 0.00532, 200000, 4, 824, 86, 16, 20, 0.0084315, 20, 0.00842696
0, 167, poisson, 0.00632642, 0.00674, 200000, 4, 1032, 124, 16, 23, 0.0100808, 23, 0.0101304
0, 167, poisson, 0.00840607, 0.00853, 200000, 4, 1286, 162, 28, 21, 0.0120177, 21, 0.011973
0, 167, poisson, 0.0119181, 0.012475, 200000, 6, 1833, 250, 41, 17, 0.0159401, 19, 0.0157369
0, 167, poisson, 0.0192242, 0.019455, 200000, 5, 2859, 405, 57, 19, 0.0251937, 27, 0.024696
0, 138, poisson, 4.1054e-06, 5e-06, 200000, 1, 1, 0, 0, 7, 2.59615, 5, 1.90137
0, 138, poisson, 7.71263e-06, 1e-05, 200000, 1, 2, 0, 0, 9, 5.9507, 10, 4.54666
0, 138, poisson, 1.19272e-05, 1e-05, 200000, 1, 2, 0, 0, 9, 4.62124, 9, 4.52272
0, 138, poisson, 1.68059e-05, 1e-05, 200000, 1, 2, 0, 0, 6, 2.56739, 9, 4.52278
0, 138, poisson, 2.24496e-05, 5e-06, 200000, 1, 1, 0, 0, 20057, 4.29493e-06, 5, 1.90147
0, 138, poisson, 2.89301e-05, 2e-05, 200000, 1, 4, 0, 0, 12, 13.7844, 13, 18.532
0, 138, poisson, 3.6284e-05, 3.5e-05, 200000, 1, 7, 0, 0, 18, 75.3604, 17, 56.2363
0, 138, poisson, 4.46137e-05, 3e-05, 200000, 1, 6, 0, 0, 15, 32.7779, 17, 42.897
0, 138, poisson, 5.4047e-05, 3.5e-05, 200000, 1, 7, 0, 0, 16, 43.849, 18, 58.3146
0, 138, poisson, 6.4692e-05, 5e-05, 200000, 2, 8, 1, 0, 34, 8.97653e-05, 34, 9.28472e-05
0, 138, poisson, 7.66688e-05, 0.00014, 200000, 5, 17, 3, 0, 36, 7.69517e-05, 34, 9.17088e-05
0, 138, poisson, 9.01766e-05, 9.5e-05, 200000, 2, 17, 1, 0, 30, 0.000391845, 30, 0.000389148
0, 138, poisson, 0.000105308, 0.000105, 200000, 2, 17, 2, 0, 32, 0.000208086, 32, 0.000207996
0, 138, poisson, 0.000122343, 6.5e-05, 200000, 1, 13, 0, 0, 17, 56.3071, 21, 220.28
0, 138, poisson, 0.00014151, 0.000155, 200000, 3, 11, 7, 2, 34, 3.05064e-05, 35, 3.04368e-05
0, 138, poisson, 0.000163142, 0.00013, 200000, 2, 20, 3, 0, 32, 0.000187482, 32, 0.000198584
0, 138, poisson, 0.000187258, 0.00015, 200000, 3, 19, 4, 1, 34, 0.000107386, 33, 0.000111352
0, 138, poisson, 0.0002147, 0.000185, 200000, 2, 27, 5, 0, 31, 0.000225906, 20043, 0.000224952
