ref_seq_bin, insert_length, mean_fit, prediction_mean, sample_mean, num_sites, max_duplication, counts1, counts2, counts3, calls_prediction, dispersion_prediction, calls_sample, dispersion_sample
0, 145, poisson, 0.00529454, 0.003775, 200000, 2, 745, 5, 0, 11, 0.127078, 15, 0.149933
0, 145, poisson, 0.00623734, 0.004685, 200000, 2, 927, 5, 0, 13, 0.212544, 10, 0.239881
0, 145, poisson, 0.00681861, 0.00602, 200000, 2, 1190, 7, 0, 11, 0.282818, 11, 0.287376
0, 145, poisson, 0.0072787, 0.006455, 200000, 2, 1281, 5, 0, 8, 0.485678, 9, 0.495044
0, 145, poisson, 0.00767579, 0.00728, 200000, 2, 1442, 7, 0, 11, 0.441704, 12, 0.442266
0, 145, poisson, 0.00803294, 0.00737, 200000, 2, 1460, 7, 0, 10, 0.451579, 8, 0.454974
0, 145, poisson, 0.0083632, 0.008095, 200000, 2, 1593, 13, 0, 11, 0.277288, 13, 0.277345
0, 145, poisson, 0.00867579, 0.008595, 200000, 2, 1705, 7, 0, 11, 0.651971, 11, 0.65162
0, 145, poisson, 0.00897425, 0.008685, 200000, 2, 1729, 4, 0, 8, 1.30872, 8, 1.31029
0, 145, poisson, 0.00926345, 0.00917, 200000, 2, 1806, 14, 0, 13, 0.337709, 13, 0.337589
0, 145, poisson, 0.00954373, 0.00996, 200000, 3, 1973, 8, 1, 11, 0.624833, 12, 0.62596
0, 145, poisson, 0.00981905, 0.00999, 200000, 2, 1964, 17, 0, 13, 0.328316, 13, 0.328272
0, 145, poisson, 0.0100922, 0.010045, 200000, 2, 1987, 11, 0, 9, 0.5512, 9, 0.551027
0, 145, poisson, 0.0103619, 0.010705, 200000, 2, 2109, 16, 0, 11, 0.411736, 11, 0.412188
0, 145, poisson, 0.0106308, 0.011025, 200000, 2, 2181, 12, 0, 9, 0.617677, 10, 0.618793
0, 145, poisson, 0.0109004, 0.011135, 200000, 2, 2197, 15, 0, 8, 0.486238, 8, 0.486787
0, 145, poisson, 0.0111701, 0.01147, 200000, 2, 2262, 16, 0, 8, 0.483479, 8, 0.483542
0, 145, poisson, 0.0114417, 0.012145, 200000, 2, 2397, 16, 0, 9, 0.550629, 9, 0.552653
0, 145, poisson, 0.0117164, 0.01199, 200000, 2, 2362, 18, 0, 9, 0.467025, 20024, 0.466943
0, 145, poisson, 0.0119949, 0.012505, 200000, 2, 2473, 14, 0, 8, 0.692859, 10, 0.694033
0, 145, poisson, 0.0122785, 0.01279, 200000, 2, 2526, 16, 0, 11, 0.623404, 12, 0.624299
0, 145, poisson, 0.0125674, 0.013055, 200000, 2, 2589, 11, 0, 6, 1.0281, 20023, 1.02921
0, 145, poisson, 0.0128631, 0.013305, 200000, 2, 2627, 17, 0, 11, 0.636697, 15, 0.637674
0, 145, poisson, 0.0131668, 0.01429, 200000, 3, 2797, 29, 1, 10, 0.373949, 10, 0.376447
0, 145, poisson, 0.0134824, 0.01409, 200000, 2, 2776, 21, 0, 9, 0.566436, 9, 0.567839
0, 145, poisson, 0.0138072, 0.01451, 200000, 2, 2858, 22, 0, 9, 0.574449, 9, 0.575814
0, 145, poisson, 0.014146, 0.01466, 200000, 2, 2882, 25, 0, 7, 0.506622, 7, 0.507009
0, 145, poisson, 0.0145004, 0.014745, 200000, 2, 2903, 23, 0, 9, 0.567331, 12, 0.567268
0, 145, poisson, 0.0148707, 0.015125, 200000, 2, 2985, 20, 0, 7, 0.711894, 7, 0.711996
0, 145, poisson, 0.0152573, 0.01576, 200000, 2, 3096, 28, 0, 8, 0.524457, 8, 0.525314
0, 145, poisson, 0.0156681, 0.016615, 200000, 3, 3262, 29, 1, 8, 0.531354, 8, 0.533431
0, 145, poisson, 0.0161077, 0.01685, 200000, 2, 3296, 37, 0, 11, 0.44113, 11, 0.441915
0, 145, poisson, 0.0165793, 0.01723, 200000, 2, 3376, 35, 0, 7, 0.496189, 8, 0.497073
0, 145, poisson, 0.0170883, 0.018025, 200000, 2, 3547, 29, 0, 11, 0.690071, 9, 0.692212
0, 145, poisson, 0.0176486, 0.01821, 200000, 2, 3572, 35, 0, 9, 0.565631, 10, 0.566121
0, 145, poisson, 0.0182681, 0.018695, 200000, 2, 3671, 34, 0, 11, 0.623465, 11, 0.623727
0, 145, poisson, 0.0189665, 0.019475, 200000, 3, 3782, 55, 1, 10, 0.374516, 10, 0.374674
0, 145, poisson, 0.019766, 0.02032, 200000, 2, 3998, 33, 0, 9, 0.789078, 9, 0.789089
0, 145, poisson, 0.0207136, 0.02074, 200000, 2, 4050, 49, 0, 8, 0.515126, 8, 0.515028
0, 145, poisson, 0.0218836, 0.02173, 200000, 3, 4247, 48, 1, 9, 0.566019, 11, 0.565335
0, 145, poisson, 0.0234458, 0.022375, 200000, 2, 4373, 51, 0, 9, 0.586334, 9, 0.587379
0, 145, poisson, 0.0258063, 0.02402, 200000, 3, 4687, 57, 1, 9, 0.584525, 9, 0.586986
0, 163, poisson, 0.0058786, 0.004195, 200000, 1, 839, 0, 0, 68, 12372.8, 71, 13350.2
0, 163, poisson, 0.00685284, 0.005585, 200000, 2, 1111, 3, 0, 9, 0.603235, 13, 0.642562
0, 163, poisson, 0.00746653, 0.006465, 200000, 2, 1277, 8, 0, 11, 0.282839, 13, 0.290006
0, 163, poisson, 0.00795489, 0.006765, 200000, 2, 1341, 6, 0, 11, 0.431307, 10, 0.446472
0, 163, poisson, 0.00837737, 0.008, 200000, 2, 1590, 5, 0, 9, 0.819576, 9, 0.820918
0, 163, poisson, 0.00875777, 0.008105, 200000, 2, 1605, 8, 0, 8, 0.482118, 10, 0.485351
0, 163, poisson, 0.00910984, 0.00852, 200000, 2, 1688, 8, 0, 8, 0.542333, 8, 0.545201
0, 163, poisson, 0.00944251, 0.009035, 200000, 2, 1791, 8, 0, 11, 0.624583, 11, 0.625768
0, 163, poisson, 0.00976101, 0.009585, 200000, 2, 1885, 16, 0, 13, 0.320268, 13, 0.320365
0, 163, poisson, 0.0100692, 0.00996, 200000, 3, 1953, 18, 1, 11, 0.27687, 11, 0.277027
0, 163, poisson, 0.0103697, 0.010145, 200000, 2, 2007, 11, 0, 9, 0.56363, 11, 0.563972
0, 163, poisson, 0.0106638, 0.011025, 200000, 2, 2165, 20, 0, 13, 0.340329, 14, 0.340787
0, 163, poisson, 0.0109546, 0.0114, 200000, 2, 2254, 13, 0, 9, 0.607922, 9, 0.608922
0, 163, poisson, 0.011243, 0.0113, 200000, 2, 2234, 13, 0, 9, 0.596463, 10, 0.596405
0, 163, poisson, 0.0115303, 0.01206, 200000, 2, 2374, 19, 0, 11, 0.443319, 10, 0.444295
0, 163, poisson, 0.011819, 0.01195, 200000, 2, 2354, 18, 0, 10, 0.463534, 10, 0.463335
0, 163, poisson, 0.0121077, 0.012395, 200000, 2, 2445, 17, 0, 8, 0.539322, 10, 0.539639
0, 163, poisson, 0.012399, 0.013285, 200000, 2, 2615, 21, 0, 7, 0.49234, 7, 0.494711
0, 163, poisson, 0.0126929, 0.013375, 200000, 3, 2624, 24, 1, 11, 0.396344, 11, 0.39762
0, 163, poisson, 0.012992, 0.01374, 200000, 2, 2704, 22, 0, 7, 0.505067, 7, 0.506646
0, 163, poisson, 0.0132962, 0.0142, 200000, 2, 2808, 16, 0, 9, 0.796853, 9, 0.800843
0, 163, poisson, 0.0136074, 0.013955, 200000, 2, 2759, 16, 0, 9, 0.767783, 16, 0.768156
0, 163, poisson, 0.0139249, 0.014495, 200000, 2, 2851, 24, 0, 8, 0.517198, 8, 0.518145
0, 163, poisson, 0.0142514, 0.015285, 200000, 2, 3005, 26, 0, 8, 0.530975, 10, 0.533774
0, 163, poisson, 0.0145873, 0.0152, 200000, 2, 2978, 31, 0, 11, 0.427659, 11, 0.428263
0, 163, poisson, 0.0149376, 0.015785, 200000, 2, 3095, 31, 0, 9, 0.465949, 13, 0.467532
0, 163, poisson, 0.0153, 0.016125, 200000, 2, 3169, 28, 0, 9, 0.552496, 12, 0.554356
0, 163, poisson, 0.0156781, 0.016225, 200000, 2, 3195, 25, 0, 11, 0.643263, 11, 0.643938
0, 163, poisson, 0.0160749, 0.01739, 200000, 2, 3398, 40, 0, 11, 0.430904, 11, 0.433842
0, 163, poisson, 0.0164927, 0.017505, 200000, 2, 3455, 23, 0, 9, 0.850348, 11, 0.853785
