ref_seq_bin, insert_length, mean_fit, prediction_mean, sample_mean, num_sites, max_duplication, counts1, counts2, counts3, calls_prediction, dispersion_prediction, calls_sample, dispersion_sample
0, 144, poisson, 0.00312697, 0.002695, 200000, 2, 535, 2, 0, 12, 0.196017, 12, 0.195986
0, 144, poisson, 0.00432507, 0.00413, 200000, 2, 824, 1, 0, 6, 1.17978, 10, 1.16383
0, 144, poisson, 0.0051234, 0.00511, 200000, 3, 1011, 4, 1, 9, 0.257352, 13, 0.255864
0, 144, poisson, 0.00577849, 0.00569, 200000, 2, 1132, 3, 0, 11, 0.672875, 15, 0.671435
0, 144, poisson, 0.00635438, 0.0067, 200000, 2, 1328, 6, 0, 10, 0.435325, 9, 0.43666
0, 144, poisson, 0.00687766, 0.006925, 200000, 2, 1379, 3, 0, 6, 1.07504, 6, 1.07387
0, 144, poisson, 0.00736185, 0.007475, 200000, 2, 1489, 3, 0, 8, 1.29124, 8, 1.29172
0, 144, poisson, 0.0078185, 0.008125, 200000, 2, 1613, 6, 0, 11, 0.682865, 11, 0.685081
0, 144, poisson, 0.00825509, 0.0084, 200000, 2, 1666, 7, 0, 9, 0.616676, 12, 0.617273
0, 144, poisson, 0.00867559, 0.009335, 200000, 2, 1859, 4, 0, 10, 1.55005, 10, 1.56046
0, 144, poisson, 0.00907978, 0.00917, 200000, 2, 1820, 7, 0, 8, 0.760425, 8, 0.759905
0, 144, poisson, 0.00947317, 0.00921, 200000, 2, 1820, 11, 0, 10, 0.449622, 10, 0.45029
0, 144, poisson, 0.00985691, 0.01025, 200000, 3, 2021, 13, 1, 11, 0.411879, 11, 0.412934
0, 144, poisson, 0.0102323, 0.010405, 200000, 2, 2059, 11, 0, 9, 0.598705, 12, 0.598532
0, 144, poisson, 0.0106015, 0.010705, 200000, 2, 2123, 9, 0, 9, 0.814609, 12, 0.813623
0, 144, poisson, 0.0109658, 0.01091, 200000, 3, 2155, 12, 1, 7, 0.517047, 7, 0.516975
0, 144, poisson, 0.0113285, 0.011605, 200000, 2, 2287, 17, 0, 10, 0.462511, 10, 0.462823
0, 144, poisson, 0.0116883, 0.011435, 200000, 2, 2259, 14, 0, 9, 0.5617, 20025, 0.561798
0, 144, poisson, 0.0120451, 0.011955, 200000, 2, 2353, 19, 0, 10, 0.43546, 10, 0.435399
0, 144, poisson, 0.0124014, 0.012695, 200000, 2, 2515, 12, 0, 9, 0.865286, 9, 0.865959
0, 144, poisson, 0.0127574, 0.012745, 200000, 2, 2511, 19, 0, 7, 0.505537, 20022, 0.505181
0, 144, poisson, 0.0131107, 0.013125, 200000, 2, 2573, 26, 0, 10, 0.37491, 10, 0.374844
0, 144, poisson, 0.0134656, 0.01348, 200000, 2, 2652, 22, 0, 8, 0.48464, 8, 0.484554
0, 144, poisson, 0.0138238, 0.01378, 200000, 2, 2720, 18, 0, 11, 0.647232, 11, 0.647265
0, 144, poisson, 0.0141858, 0.014235, 200000, 2, 2807, 20, 0, 9, 0.616511, 12, 0.616475
0, 144, poisson, 0.014554, 0.014705, 200000, 2, 2899, 21, 0, 11, 0.628041, 11, 0.628114
0, 144, poisson, 0.0149276, 0.014365, 200000, 2, 2821, 26, 0, 10, 0.460693, 10, 0.461709
0, 144, poisson, 0.0153058, 0.015065, 200000, 2, 2965, 24, 0, 9, 0.567096, 10, 0.567277
0, 144, poisson, 0.0156915, 0.015535, 200000, 2, 3061, 23, 0, 11, 0.641945, 14, 0.64176
0, 144, poisson, 0.0160865, 0.015885, 200000, 2, 3109, 34, 0, 11, 0.425474, 14, 0.425635
0, 144, poisson, 0.0164935, 0.0161, 200000, 2, 3170, 25, 0, 11, 0.631592, 20027, 0.632227
0, 144, poisson, 0.0169156, 0.016685, 200000, 2, 3301, 18, 0, 6, 1.02344, 6, 1.02407
0, 144, poisson, 0.0173524, 0.016795, 200000, 2, 3303, 28, 0, 9, 0.609754, 9, 0.610295
0, 144, poisson, 0.0178088, 0.01745, 200000, 3, 3437, 25, 1, 8, 0.706445, 8, 0.706789
0, 144, poisson, 0.0182896, 0.017975, 200000, 2, 3529, 33, 0, 9, 0.588911, 9, 0.588959
0, 144, poisson, 0.0188012, 0.01879, 200000, 2, 3686, 36, 0, 9, 0.589622, 9, 0.589506
0, 144, poisson, 0.019352, 0.0189, 200000, 3, 3711, 33, 1, 11, 0.624293, 11, 0.624432
0, 144, poisson, 0.0199508, 0.01944, 200000, 2, 3798, 45, 0, 8, 0.489213, 7, 0.489558
0, 144, poisson, 0.0206191, 0.021425, 200000, 3, 4216, 33, 1, 9, 0.840378, 9, 0.841813
0, 144, poisson, 0.0213946, 0.02184, 200000, 2, 4288, 40, 0, 8, 0.743348, 9, 0.743248
0, 144, poisson, 0.022348, 0.02242, 200000, 3, 4357, 62, 1, 9, 0.452958, 10, 0.452728
0, 144, poisson, 0.0236385, 0.02428, 200000, 2, 4746, 55, 0, 12, 0.651853, 12, 0.651466
0, 173, poisson, 0.00348115, 0.00299, 200000, 2, 594, 2, 0, 10, 0.239073, 9, 0.24599
0, 173, poisson, 0.00464265, 0.00443, 200000, 2, 882, 2, 0, 9, 0.601699, 20023, 0.601035
0, 173, poisson, 0.00541035, 0.005325, 200000, 2, 1053, 6, 0, 10, 0.26137, 9, 0.259931
0, 173, poisson, 0.00603447, 0.006265, 200000, 2, 1225, 14, 0, 13, 0.145452, 13, 0.145525
0, 173, poisson, 0.00657989, 0.006475, 200000, 2, 1285, 5, 0, 6, 0.499198, 7, 0.498609
0, 173, poisson, 0.00707525, 0.00748, 200000, 2, 1480, 8, 0, 11, 0.401957, 11, 0.403406
0, 173, poisson, 0.00753198, 0.00787, 200000, 2, 1556, 9, 0, 11, 0.394587, 12, 0.395689
0, 173, poisson, 0.00796246, 0.007765, 200000, 2, 1533, 10, 0, 13, 0.339856, 13, 0.340127
0, 173, poisson, 0.00837224, 0.008745, 200000, 2, 1729, 10, 0, 10, 0.445804, 10, 0.446317
0, 173, poisson, 0.00876527, 0.00892, 200000, 2, 1774, 5, 0, 7, 1.06629, 14, 1.06643
0, 173, poisson, 0.00914421, 0.00919, 200000, 2, 1814, 12, 0, 11, 0.404994, 14, 0.405051
0, 173, poisson, 0.00951465, 0.009595, 200000, 2, 1913, 3, 0, 13, 2.3582, 13, 2.35827
0, 173, poisson, 0.00987598, 0.00985, 200000, 2, 1940, 15, 0, 10, 0.367079, 15, 0.367005
0, 173, poisson, 0.010231, 0.010295, 200000, 2, 2033, 13, 0, 8, 0.479286, 8, 0.479642
0, 173, poisson, 0.0105806, 0.01015, 200000, 2, 2010, 10, 0, 11, 0.631469, 11, 0.632052
0, 173, poisson, 0.0109254, 0.01111, 200000, 2, 2194, 14, 0, 8, 0.525064, 20024, 0.525108
0, 173, poisson, 0.0112672, 0.011035, 200000, 3, 2186, 9, 1, 8, 0.708315, 8, 0.708725
0, 173, poisson, 0.0116073, 0.011825, 200000, 2, 2347, 9, 0, 6, 1.03328, 6, 1.03365
0, 173, poisson, 0.011946, 0.012335, 200000, 2, 2429, 19, 0, 9, 0.467744, 9, 0.46814
0, 173, poisson, 0.0122845, 0.012485, 200000, 2, 2453, 22, 0, 11, 0.405444, 11, 0.405703
0, 173, poisson, 0.0126237, 0.012585, 200000, 3, 2478, 18, 1, 9, 0.470846, 9, 0.470894
0, 173, poisson, 0.0129651, 0.01284, 200000, 2, 2546, 11, 0, 6, 0.988921, 6, 0.988755
0, 173, poisson, 0.013308, 0.01361, 200000, 2, 2678, 22, 0, 7, 0.495279, 7, 0.495521
0, 173, poisson, 0.013653, 0.01355, 200000, 2, 2664, 23, 0, 9, 0.465671, 9, 0.465481
0, 173, poisson, 0.0140032, 0.01407, 200000, 2, 2788, 13, 0, 5, 1.00718, 5, 1.00702
0, 173, poisson, 0.0143561, 0.014425, 200000, 2, 2855, 15, 0, 9, 0.898392, 9, 0.899107
0, 173, poisson, 0.0147162, 0.015025, 200000, 2, 2951, 27, 0, 7, 0.490324, 11, 0.490388
