dataset,simulator,sim_part,computing,cpu_time,elapsed_time,max_memory
SRR490124,ReSeq,training,threaded,14585,751,6181
SRR490124,ReSeq,training,mixed,11610,9041,427
SRR490124,ReSeq,simulation,threaded,2476,63,336
SRR490124,ART,training,threaded,845,356,10
SRR490124,ART,simulation,single,727,730,13
SRR490124,ART,simulation,multi,4270,92,562
SRR490124,pIRS,training,single,24180,23160,259
SRR490124,pIRS,simulation,threaded,346,28,41
SRR490124,NEAT,training,single,5940,5400,233
SRR490124,NEAT,simulation,single,7500,7500,149
SRR490124,NEAT,simulation,multi,3157,2955,3692
SRR490124,BEAR,training,single,8472,4231,708
SRR490124,BEAR,simulation,single,64904,34771,2842
SRR3191692,ReSeq,training,threaded,24591,737,6163
SRR3191692,ReSeq,training,mixed,12769,11812,468
SRR3191692,ReSeq,simulation,threaded,4542,107,319
SRR3191692,ART,training,threaded,1883,810,11
SRR3191692,ART,simulation,single,1377,1384,12
SRR3191692,ART,simulation,multi,7620,164,542
SRR3191692,pIRS,training,single,42420,40440,178
SRR3191692,pIRS,simulation,threaded,656,45,45
SRR3191692,NEAT,training,single,13020,12060,222
SRR3191692,NEAT,simulation,single,13260,13260,296
SRR3191692,NEAT,simulation,multi,5609,5423,3830
SRR3191692,BEAR,training,single,17523,8819,1234
SRR3191692,BEAR,simulation,single,161623,87180,4885
S5L001,ReSeq,training,threaded,15676,604,6174
S5L001,ReSeq,training,mixed,11562,11353,432
S5L001,ReSeq,simulation,threaded,3632,82,434
S5L001,ART,training,threaded,1143,492,12
S5L001,ART,simulation,single,598,604,12
S5L001,ART,simulation,multi,3212,70,514
S5L001,pIRS,training,single,19080,18660,103
S5L001,pIRS,simulation,threaded,464,21,48
S5L001,NEAT,training,single,8220,7680,207
S5L001,NEAT,simulation,single,6840,6840,200
S5L001,NEAT,simulation,multi,2844,2672,3526
S5L001,BEAR,training,single,10203,5371,658
S5L001,BEAR,simulation,single,100935,55403,2648
S1L001,ReSeq,training,threaded,37473,1797,6827
S1L001,ReSeq,training,mixed,21339,20515,505
S1L001,ReSeq,simulation,threaded,9596,235,478
S1L001,ART,training,threaded,4380,1860,12
S1L001,ART,simulation,single,2340,2340,12
S1L001,ART,simulation,multi,10805,233,541
S1L001,pIRS,training,single,38880,37440,107
S1L001,pIRS,simulation,threaded,1014,67,49
S1L001,NEAT,training,single,31980,30180,211
S1L001,NEAT,simulation,single,21900,21960,291
S1L001,NEAT,simulation,multi,8724,8525,3797
S1L001,BEAR,training,single,37903,19151,2466
S1L001,BEAR,simulation,single,401202,218247,9673
S9L001,ReSeq,training,threaded,61710,2075,7990
S9L001,ReSeq,training,mixed,30397,29511,863
S9L001,ReSeq,simulation,threaded,13825,323,345
S9L001,ART,training,threaded,6720,2940,12
S9L001,ART,simulation,single,3660,3660,10
S9L001,ART,simulation,multi,18221,392,448
S9L001,pIRS,training,single,93720,91140,88
S9L001,pIRS,simulation,threaded,1682,113,48
S9L001,NEAT,training,single,44700,41940,202
S9L001,NEAT,simulation,multi,14638,10004,6316
S9L001,NEAT,simulation,single,36540,36600,535
S9L001,BEAR,training,single,54476,27462,3577
S9L001,BEAR,simulation,single,626245,345695,13941
ERR2017816,ReSeq,training,threaded,66187,1877,53274
ERR2017816,ReSeq,training,mixed,70094,69698,2419
ERR2017816,ReSeq,simulation,threaded,19543,443,1270
ERR2017816,ART,training,threaded,1781,772,12
ERR2017816,ART,simulation,single,1131,1153,67
ERR2017816,ART,simulation,multi,5070,112,3151
ERR2017816,pIRS,training,single,28080,25920,918
ERR2017816,pIRS,simulation,threaded,495,32,77
ERR2017816,NEAT,training,single,13860,12360,408
ERR2017816,NEAT,simulation,single,36060,36060,336
ERR2017816,NEAT,simulation,multi,17217,2080,9997
ERR2017816,BEAR,training,single,16330,8096,1034
ERR2017816,BEAR,simulation,single,155965,85557,4125
ERR3085830,ReSeq,training,threaded,858153,21310,162326
ERR3085830,ReSeq,training,mixed,834257,837027,35978
ERR3085830,ReSeq,simulation,threaded,372324,8785,5697
ERR3085830,ART,training,threaded,47220,20880,12
ERR3085830,ART,simulation,single,33540,34080,706
ERR3085830,ART,simulation,multi,162790,3717,34543
ERR3085830,pIRS,training,single,799380,741660,17408
ERR3085830,pIRS,simulation,threaded,31020,3360,261
ERR3085830,NEAT,training,single,363720,325560,4813
ERR3085830,NEAT,simulation,single,930180,930840,2662
ERR3085830,NEAT,simulation,multi,675510,26307,125555
ERR3085830,BEAR,training,single,435314,222974,26958
